,,,,,,,,"Ministry of Health, Malawi",,,,,,,,,,,,,,Page 1,,,, of 375,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Reporting rate: 94%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMIS Summary by facility,,,,,,,,,,,,,,,,,,,,,,,,,,,
District:,,,,,,,Reporting Period:,,,,,,,,Program:,,,,,,,,,Report Run Date:,,,
All,,,,,,,Jul2026,,,,,,,,HIV,,,,,,,,,25 - Sep - 26,,,
Line #,Order Type,,District,Facility Code,,Facility Name,,,Facility Type,Facility Operator,Product Code,Product,,Unit of Issue,,Quantity Received,Quantity Issued,AMC,,Closing balance (SOH),,,Requested Quantity,,Total stockout days,,Total losses and adjustments
1,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF1103,"Abacavir/Lamivudine (ABC/3TC), 600/300mg, pack of 30 tablets",,Bottle,,0,0,0,,14,,,-,,0,,0
2,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF0570,"Atazanavir/Ritonavir (ATV/r), 300/100mg, pack of 30 tablets",,Bottle,,0,0,0,,28,,,-,,0,,0
3,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF5022,"Dolutegravir (DTG), 50mg, pack of 30  tablets",,Bottle,,0,0,28,,48,,,-,,0,,0
4,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF5313,Isoniazid/Rifapentine 300/300mg pack of 36 tablets,,Tablets,,0,0,0,,324,,,-,,0,,0
5,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF0072,"Tenofovir Disoproxil Fumarate/Lamivudine(TDF/3TC ), 300/300mg, pack of 30 tablets",,Bottle,,0,10,4,,11,,,-,,0,,0
6,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF0078,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 30 tablets (13A)",,Bottle,,0,0,60,,100,,,-,,0,,0
7,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF0078-A,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 90 tablets (13A)",,Bottle,,0,0,23,,54,,,-,,0,,0
8,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF0011,"Zidovudine /Lamivudine(AZT/3TC), 300mg/150mg, pack of 60  tablets",,Bottle,,0,0,0,,20,,,-,,0,,0
9,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF5410,"Bioline HIV 1/2, Kit of 25 tests",,Test,,0,0,9,,25,,,-,,0,,0
10,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF0868,"DBS Bundles, 70 microlitre, Pack of 50 Tests",,Test,,0,0,0,,300,,,-,,0,,0
11,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF0325,"Determine Hepatitis B tests, pack of 100 tests",,Test,,0,0,50,,200,,,-,,0,,200
12,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF0088,"Determine HIV 1/2, Kit of 100 Tests",,Test,,0,200,167,,0,,,-,,0,,0
13,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF0087,Determine Syphilis pack of 100 tests,,Test,,0,0,100,,0,,,-,,30,,0
14,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF5099,"OraQuick HIV Self Test Kit, Pack of 25 Tests",,Test,,0,125,75,,75,,,-,,0,,0
15,Normal,,Zomba,ZA2723,,Zomba Mental Hospital,,,Mental Hospital,Government of Malawi,GF0090,"Unigold, Kit of 20 tests",,Test,,0,0,14,,40,,,-,,0,,0
16,Normal,,Zomba,ZA2772,,Zomba DHO Pharmacy,,,District Health Office,Government of Malawi,GF5410,"Bioline HIV 1/2, Kit of 25 tests",,Test,,0,0,0,,600,,,-,,0,,-275
17,Normal,,Zomba,ZA2772,,Zomba DHO Pharmacy,,,District Health Office,Government of Malawi,GF0088,"Determine HIV 1/2, Kit of 100 Tests",,Test,,"2,000",0,91,,100,,,-,,0,,"-1,900"
18,Normal,,Zomba,ZA2772,,Zomba DHO Pharmacy,,,District Health Office,Government of Malawi,GF5099,"OraQuick HIV Self Test Kit, Pack of 25 Tests",,Test,,0,0,0,,50,,,-,,0,,0
19,Normal,,Zomba,ZA2772,,Zomba DHO Pharmacy,,,District Health Office,Government of Malawi,GF0090,"Unigold, Kit of 20 tests",,Test,,0,0,0,,300,,,-,,0,,-400
20,Normal,,Zomba,ZA2768,,Zomba city private clinic,,,Clinic,Private,GF5282,"Dolutegravir (DTG) dispersible, 10mg, pack of 90 dispersible tablets",,Bottle,,0,0,0,,4,,,-,,0,,0
21,Normal,,Zomba,ZA2768,,Zomba city private clinic,,,Clinic,Private,GF0078-A,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 90 tablets (13A)",,Bottle,,0,0,6,,63,,,-,,0,,0
22,Normal,,Zomba,ZA2762,,Zomba Central Prison Clinic Health Centre,,,Health Centre,Government of Malawi,GF1103,"Abacavir/Lamivudine (ABC/3TC), 600/300mg, pack of 30 tablets",,Bottle,,0,6,3,,0,,,-,,7,,0
23,Normal,,Zomba,ZA2762,,Zomba Central Prison Clinic Health Centre,,,Health Centre,Government of Malawi,GF0570,"Atazanavir/Ritonavir (ATV/r), 300/100mg, pack of 30 tablets",,Bottle,,0,0,3,,11,,,-,,0,,4
24,Normal,,Zomba,ZA2762,,Zomba Central Prison Clinic Health Centre,,,Health Centre,Government of Malawi,GF5313,Isoniazid/Rifapentine 300/300mg pack of 36 tablets,,Tablets,,0,0,120,,864,,,-,,0,,0
25,Normal,,Zomba,ZA2762,,Zomba Central Prison Clinic Health Centre,,,Health Centre,Government of Malawi,GF0072,"Tenofovir Disoproxil Fumarate/Lamivudine(TDF/3TC ), 300/300mg, pack of 30 tablets",,Bottle,,0,12,9,,0,,,-,,0,,0
